84,Batman: Arkham Asylum,https://www.igdb.com/games/batman-arkham-asylum
85,Super Smash Bros. Melee,https://www.igdb.com/games/super-smash-bros-melee
86,Lemmings,https://www.igdb.com/games/lemmings
87,NBA Jam (Series),https://www.igdb.com/games/nba-jam--1
88,"Secret of Monkey Island, The",https://www.igdb.com/games/the-secret-of-monkey-island
89,X-COM: UFO Defense (AKA UFO: Enemy Unknown),https://www.igdb.com/games/x-com-ufo-defense
90,Prince of Persia: The Sands of Time,https://www.igdb.com/games/prince-of-persia-the-sands-of-time
91,Galaga,https://www.igdb.com/games/galaga
92,Final Fantasy Tactics,https://www.igdb.com/games/final-fantasy-tactics
93,Secret of Mana,https://www.igdb.com/games/secret-of-mana
94,Mike Tyson's Punch-Out!! (1987) / Punch-Out!! (1990),https://www.igdb.com/games/punch-out--3
95,League of Legends,https://www.igdb.com/games/league-of-legends
96,Assassin's Creed II,https://www.igdb.com/games/assassin-s-creed-ii
97,Super Mario Galaxy,https://www.igdb.com/games/super-mario-galaxy
98,Grand Theft Auto: Vice City,https://www.igdb.com/games/grand-theft-auto-vice-city
99,Grand Theft Auto: San Andreas,https://www.igdb.com/games/grand-theft-auto-san-andreas
100,Civilization IV,https://www.igdb.com/games/sid-meier-s-civilization-iv
101,God of War (2005),https://www.igdb.com/games/god-of-war
102,Advance Wars,https://www.igdb.com/games/advance-wars
103,Planescape: Torment,https://www.igdb.com/games/planescape-torment
104,Guitar Hero (Series),https://www.igdb.com/games/guitar-hero
105,Quake,https://www.igdb.com/games/quake
106,Team Fortress 2,https://www.igdb.com/games/team-fortress-2
107,Burnout 3: Takedown,https://www.igdb.com/games/burnout-3-takedown
108,Gauntlet,https://www.igdb.com/games/gauntlet
109,Spelunky,https://www.igdb.com/games/spelunky-classic
110,Pong,https://www.igdb.com/games/pong
111,Shin Megami Tensei: Persona 4,https://www.igdb.com/games/persona-4
112,Civilization,https://www.igdb.com/games/sid-meiers-civilization
113,Star Wars: TIE Fighter,https://www.igdb.com/games/star-wars-tie-fighter
114,Stardew Valley,https://www.igdb.com/games/stardew-valley
115,Day of the Tentacle,https://www.igdb.com/games/day-of-the-tentacle
116,Madden NFL Football (Series),https://www.igdb.com/games/john-madden-football
117,Zork,https://www.igdb.com/games/zork-i-the-great-underground-empire
118,Contra (AKA Probotector),https://www.igdb.com/games/contra
119,Left 4 Dead 2,https://www.igdb.com/games/left-4-dead-2
120,Civilization II,https://www.igdb.com/games/sid-meier-s-civilization-iii
121,Baldur’s Gate II: Shadows of Amn,https://www.igdb.com/games/baldurs-gate-ii-shadows-of-amn
122,Wolfenstein 3D,https://www.igdb.com/games/wolfenstein-3d
123,Mario Kart 8 (2014) / Mario Kart 8 Deluxe (2017),https://www.igdb.com/games/mario-kart-8
124,Gran Turismo,https://www.igdb.com/games/gran-turismo
125,Dishonored,https://www.igdb.com/games/dishonored
126,Soul Calibur,https://www.igdb.com/games/soulcalibur
127,Rez (2002) / Rez Infinite (2016),https://www.igdb.com/games/rez
128,Double Dragon (1987) / Double Dragon Advance (2003),https://www.igdb.com/games/double-dragon
129,Sonic the Hedgehog 2,https://www.igdb.com/games/sonic-the-hedgehog-2
130,Warcraft II: Tides of Darkness,https://www.igdb.com/games/warcraft-ii-tides-of-darkness
131,Asteroids,https://www.igdb.com/games/asteroids
132,Metroid,https://www.igdb.com/games/metroid
133,Limbo,https://www.igdb.com/games/limbo
